hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,decision_score,quality_score,rut_label,moon_label,competition_label,apps_per_permit_2025,applications_2025
Yockanookany - PW Hunt 4,Deer Primitive Weapon,Yockanookany,2026-12-28,2027-01-10,50,14,3.59,3.42,Peak Rut (Prime Time),Good (Quarter Moon),Low,2.4,120
Yockanookany - PW Hunt 2,Deer Primitive Weapon,Yockanookany,2026-11-30,2026-12-13,50,14,3.4,2.72,Pre-Rut (Building Activity),Good (Quarter Moon),Very Low,1.76,88
Charles Ray Nix - PW Hunt 6,Deer Primitive Weapon,Charles Ray Nix,2026-12-28,2027-01-03,50,7,3.31,3.02,Peak Rut (Prime Time),Good (Quarter Moon),Low,4.9,245
Yockanookany - PW Hunt 3,Deer Primitive Weapon,Yockanookany,2026-12-14,2026-12-27,50,14,3.15,2.79,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Low,2.26,113
Yockanookany - PW Hunt 1,Deer Primitive Weapon,Yockanookany,2026-11-21,2026-11-29,50,9,3.11,2.3,Pre-Rut (Building Activity),Fair (Neutral),Very Low,1.3,65
Charles Ray Nix - PW Hunt 7,Deer Primitive Weapon,Charles Ray Nix,2027-01-04,2027-01-08,50,5,2.97,2.52,Post-Rut (Recovery Period),Excellent (New Moon Period),Low,3.56,178
Yockanookany - PW Hunt 5,Deer Primitive Weapon,Yockanookany,2027-01-11,2027-01-24,50,14,2.95,2.5,Post-Rut (Recovery Period),Good (Quarter Moon),Low,2.22,111
Charles Ray Nix - PW Hunt 3,Deer Primitive Weapon,Charles Ray Nix,2026-12-07,2026-12-13,50,7,2.77,2.67,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,8.76,438
Alligator - PW Hunt 6,Deer Primitive Weapon,Alligator,2026-12-28,2027-01-03,36,7,2.76,2.88,Peak Rut (Prime Time),Good (Quarter Moon),Unknown (new or unmatched),,
Charles Ray Nix - PW Hunt 4,Deer Primitive Weapon,Charles Ray Nix,2026-12-14,2026-12-20,50,7,2.74,2.62,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Moderate,8.6,430
Phil Bryant (Goose Lake Unit) - Archery Hunt 2,Deer Archery,Phil Bryant (Goose Lake Unit),2026-10-08,2026-10-11,24,4,2.73,2.19,Pre-Rut (Building Activity),Excellent (New Moon Period),Low,2.75,66
Natchez State Park - Archery Hunt 2,Deer Archery,Natchez State Park,2026-10-08,2026-10-11,18,4,2.69,2.13,Pre-Rut (Building Activity),Excellent (New Moon Period),Low,4.89,88
Charles Ray Nix - PW Hunt 5,Deer Primitive Weapon,Charles Ray Nix,2026-12-21,2026-12-27,50,7,2.65,2.5,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,5.18,259
Natchez State Park - Archery Hunt 14,Deer Archery,Natchez State Park,2026-12-31,2027-01-03,18,4,2.63,2.47,Peak Rut (Prime Time),Good (Quarter Moon),Moderate,9.17,165
Phil Bryant (Goose Lake Unit) - Archery Hunt 6,Deer Archery,Phil Bryant (Goose Lake Unit),2026-11-05,2026-11-08,24,4,2.61,2.01,Pre-Rut (Building Activity),Good (Quarter Moon),Low,2.42,58
Phil Bryant (Goose Lake Unit) - Archery Hunt 7,Deer Archery,Phil Bryant (Goose Lake Unit),2026-11-12,2026-11-15,24,4,2.61,2.01,Pre-Rut (Building Activity),Good (Quarter Moon),Low,2.58,62
Natchez State Park - Archery Hunt 13,Deer Archery,Natchez State Park,2026-12-24,2026-12-27,18,4,2.57,1.96,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Low,4.94,89
Natchez State Park - Archery Hunt 6,Deer Archery,Natchez State Park,2026-11-05,2026-11-08,18,4,2.56,1.95,Pre-Rut (Building Activity),Good (Quarter Moon),Low,3.44,62
Natchez State Park - Archery Hunt 7,Deer Archery,Natchez State Park,2026-11-12,2026-11-15,18,4,2.56,1.95,Pre-Rut (Building Activity),Good (Quarter Moon),Low,3.17,57
Twin Oaks - Archery Hunt 3,Deer Archery,Twin Oaks,2026-10-08,2026-10-09,15,2,2.56,1.95,Pre-Rut (Building Activity),Excellent (New Moon Period),Low,4.07,61
Twin Oaks - Archery Hunt 4,Deer Archery,Twin Oaks,2026-10-11,2026-10-12,15,2,2.56,1.95,Pre-Rut (Building Activity),Excellent (New Moon Period),Low,5.0,75
Mahannah/Phil Bryant - Senior Hunt 1,Deer Senior,Mahannah/Phil Bryant,2027-01-14,2027-01-15,100,2,2.56,1.94,Post-Rut (Recovery Period),Good (Quarter Moon),Low,4.18,209
Natchez State Park - Youth Hunt 3,Deer Youth,Natchez State Park,2026-11-07,2026-11-08,10,2,2.53,1.9,Pre-Rut (Building Activity),Excellent (New Moon Period),Low,5.0,50
Alligator - PW Hunt 4,Deer Primitive Weapon,Alligator,2026-12-07,2026-12-13,36,7,2.52,2.53,Pre-Rut (Building Activity),Excellent (New Moon Period),Unknown (new or unmatched),,
Hell Creek - Senior Hunt 1,Deer Senior,Hell Creek,2026-12-26,2026-12-28,12,3,2.52,1.88,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Low,2.5,30
Black Prairie - Youth Hunt 3,Deer Youth,Black Prairie,2026-12-24,2026-12-26,15,3,2.5,1.85,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Low,3.87,58
Phil Bryant (Goose Lake Unit) - Archery Hunt 3,Deer Archery,Phil Bryant (Goose Lake Unit),2026-10-15,2026-10-18,24,4,2.48,1.83,Pre-Rut (Building Activity),Good (Quarter Moon),Low,2.96,71
Phil Bryant (Goose Lake Unit) - Archery Hunt 1,Deer Archery,Phil Bryant (Goose Lake Unit),2026-10-01,2026-10-04,24,4,2.45,1.79,Pre-Rut (Building Activity),Good (Quarter Moon),Low,3.58,86
Phil Bryant (Goose Lake Unit) - Archery Hunt 5,Deer Archery,Phil Bryant (Goose Lake Unit),2026-10-29,2026-11-01,24,4,2.45,1.79,Pre-Rut (Building Activity),Good (Quarter Moon),Low,2.25,54
Natchez State Park - Archery Hunt 3,Deer Archery,Natchez State Park,2026-10-15,2026-10-18,18,4,2.44,1.77,Pre-Rut (Building Activity),Good (Quarter Moon),Low,4.89,88
Natchez State Park - Archery Hunt 10,Deer Archery,Natchez State Park,2026-12-03,2026-12-06,18,4,2.44,1.77,Pre-Rut (Building Activity),Good (Quarter Moon),Low,3.78,68
Charles Ray Nix - PW Hunt 2,Deer Primitive Weapon,Charles Ray Nix,2026-12-04,2026-12-06,50,3,2.44,2.19,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.42,371
Phil Bryant (Goose Lake Unit) - Archery Hunt 15,Deer Archery,Phil Bryant (Goose Lake Unit),2027-01-07,2027-01-10,24,4,2.43,2.19,Post-Rut (Recovery Period),Excellent (New Moon Period),Moderate,8.17,196
Phil Bryant (Ten Point Unit) - Archery Hunt 2,Deer Archery,Phil Bryant (Ten Point Unit),2026-10-08,2026-10-11,24,4,2.43,2.19,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,7.67,184
Phil Bryant (Ten Point Unit) - Youth Hunt 2,Deer Youth,Phil Bryant (Ten Point Unit),2027-01-07,2027-01-10,24,4,2.43,2.19,Post-Rut (Recovery Period),Excellent (New Moon Period),Moderate,7.75,186
Natchez State Park - Archery Hunt 5,Deer Archery,Natchez State Park,2026-10-29,2026-11-01,18,4,2.41,1.73,Pre-Rut (Building Activity),Good (Quarter Moon),Low,3.33,60
Natchez State Park - Archery Hunt 16,Deer Archery,Natchez State Park,2027-01-14,2027-01-17,18,4,2.41,1.73,Post-Rut (Recovery Period),Good (Quarter Moon),Low,3.56,64
Phil Bryant (Goose Lake Unit) - Archery Hunt 8,Deer Archery,Phil Bryant (Goose Lake Unit),2026-11-19,2026-11-22,24,4,2.41,1.73,Pre-Rut (Building Activity),Fair (Neutral),Low,3.08,74
Phil Bryant (Goose Lake Unit) - Archery Hunt 9,Deer Archery,Phil Bryant (Goose Lake Unit),2026-11-26,2026-11-29,24,4,2.41,1.73,Pre-Rut (Building Activity),Fair (Neutral),Low,3.88,93
Alligator - PW Hunt 5,Deer Primitive Weapon,Alligator,2026-12-21,2026-12-27,36,7,2.41,2.36,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Unknown (new or unmatched),,
Pascagoula River (LBTC Unit) - Senior Hunt 1,Deer Senior,Pascagoula River (LBTC Unit),2026-12-31,2027-01-03,8,4,2.41,2.37,Peak Rut (Prime Time),Good (Quarter Moon),Unknown (new or unmatched),,
Natchez State Park - Archery Hunt 11,Deer Archery,Natchez State Park,2026-12-10,2026-12-13,18,4,2.39,2.13,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,6.5,117
Natchez State Park - Archery Hunt 15,Deer Archery,Natchez State Park,2027-01-07,2027-01-10,18,4,2.39,2.13,Post-Rut (Recovery Period),Excellent (New Moon Period),Moderate,6.17,111
Natchez State Park - Archery Hunt 8,Deer Archery,Natchez State Park,2026-11-19,2026-11-22,18,4,2.37,1.67,Pre-Rut (Building Activity),Fair (Neutral),Low,3.11,56
Natchez State Park - Archery Hunt 9,Deer Archery,Natchez State Park,2026-11-26,2026-11-29,18,4,2.37,1.67,Pre-Rut (Building Activity),Fair (Neutral),Low,2.44,44
