hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days
Calling Panther - Archery Hunt 1,Deer Archery,Calling Panther,2026-10-01,2026-10-04,4,4
Calling Panther - Archery Hunt 2,Deer Archery,Calling Panther,2026-10-08,2026-10-11,4,4
Calling Panther - Archery Hunt 3,Deer Archery,Calling Panther,2026-10-15,2026-10-18,4,4
Calling Panther - Archery Hunt 4,Deer Archery,Calling Panther,2026-10-22,2026-10-25,4,4
Calling Panther - Archery Hunt 5,Deer Archery,Calling Panther,2026-10-29,2026-11-01,4,4
Calling Panther - Archery Hunt 6,Deer Archery,Calling Panther,2026-11-05,2026-11-08,4,4
Calling Panther - Archery Hunt 7,Deer Archery,Calling Panther,2026-11-12,2026-11-15,4,4
Calling Panther - Archery Hunt 8,Deer Archery,Calling Panther,2026-11-19,2026-11-22,4,4
Calling Panther - Archery Hunt 9,Deer Archery,Calling Panther,2026-11-26,2026-11-29,4,4
Calling Panther - Archery Hunt 10,Deer Archery,Calling Panther,2026-12-03,2026-12-06,4,4
Calling Panther - Archery Hunt 11,Deer Archery,Calling Panther,2026-12-10,2026-12-13,4,4
Calling Panther - Archery Hunt 12,Deer Archery,Calling Panther,2026-12-17,2026-12-20,4,4
Calling Panther - Archery Hunt 13,Deer Archery,Calling Panther,2026-12-24,2026-12-27,4,4
Calling Panther - Archery Hunt 14,Deer Archery,Calling Panther,2026-12-31,2027-01-03,4,4
Calling Panther - Archery Hunt 15,Deer Archery,Calling Panther,2027-01-07,2027-01-10,4,4
Calling Panther - Archery Hunt 16,Deer Archery,Calling Panther,2027-01-14,2027-01-17,4,4
Calling Panther - Archery Hunt 17,Deer Archery,Calling Panther,2027-01-21,2027-01-24,4,4
Canemount - Archery Hunt 1,Deer Archery,Canemount,2026-10-01,2026-10-04,12,4
Canemount - Archery Hunt 2,Deer Archery,Canemount,2026-10-08,2026-10-11,12,4
Canemount - Archery Hunt 3,Deer Archery,Canemount,2026-10-15,2026-10-18,12,4
Canemount - Archery Hunt 4,Deer Archery,Canemount,2026-10-22,2026-10-25,12,4
Canemount - Archery Hunt 5,Deer Archery,Canemount,2026-10-29,2026-11-01,12,4
Mahannah - Archery Hunt 1,Deer Archery,Mahannah,2026-10-01,2026-10-02,20,2
Mahannah - Archery Hunt 2,Deer Archery,Mahannah,2026-10-04,2026-10-05,20,2
Mahannah - Archery Hunt 3,Deer Archery,Mahannah,2026-10-08,2026-10-09,20,2
Mahannah - Archery Hunt 4,Deer Archery,Mahannah,2026-10-11,2026-10-12,20,2
Mahannah - Archery Hunt 5,Deer Archery,Mahannah,2026-10-15,2026-10-16,20,2
Mahannah - Archery Hunt 6,Deer Archery,Mahannah,2026-10-18,2026-10-19,20,2
Mahannah - Archery Hunt 7,Deer Archery,Mahannah,2026-10-22,2026-10-23,20,2
Mahannah - Archery Hunt 8,Deer Archery,Mahannah,2026-10-25,2026-10-26,20,2
Mahannah - Archery Hunt 9,Deer Archery,Mahannah,2026-10-29,2026-10-30,20,2
Natchez State Park - Archery Hunt 1,Deer Archery,Natchez State Park,2026-10-01,2026-10-04,18,4
Natchez State Park - Archery Hunt 2,Deer Archery,Natchez State Park,2026-10-08,2026-10-11,18,4
Natchez State Park - Archery Hunt 3,Deer Archery,Natchez State Park,2026-10-15,2026-10-18,18,4
Natchez State Park - Archery Hunt 4,Deer Archery,Natchez State Park,2026-10-22,2026-10-25,18,4
Natchez State Park - Archery Hunt 5,Deer Archery,Natchez State Park,2026-10-29,2026-11-01,18,4
Natchez State Park - Archery Hunt 6,Deer Archery,Natchez State Park,2026-11-05,2026-11-08,18,4
Natchez State Park - Archery Hunt 7,Deer Archery,Natchez State Park,2026-11-12,2026-11-15,18,4
