hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,group_size
Phil Bryant (Backwoods Unit) - Group Archery Hunt 1,Deer Group,Phil Bryant (Backwoods Unit),2025-10-01,2025-10-05,16,5,4
Phil Bryant (Backwoods Unit) - Group Archery Hunt 2,Deer Group,Phil Bryant (Backwoods Unit),2025-10-08,2025-10-12,16,5,4
Phil Bryant (Backwoods Unit) - Group Archery Hunt 3,Deer Group,Phil Bryant (Backwoods Unit),2025-10-15,2025-10-19,16,5,4
Phil Bryant (Backwoods Unit) - Group Archery Hunt 4,Deer Group,Phil Bryant (Backwoods Unit),2025-10-22,2025-10-26,16,5,4
Phil Bryant (Backwoods Unit) - Group Archery Hunt 5,Deer Group,Phil Bryant (Backwoods Unit),2025-10-29,2025-11-02,16,5,4
Phil Bryant (Backwoods Unit) - Group Gun Hunt 1,Deer Group,Phil Bryant (Backwoods Unit),2025-11-05,2025-11-09,16,5,4
Phil Bryant (Backwoods Unit) - Group Gun Hunt 2,Deer Group,Phil Bryant (Backwoods Unit),2025-11-12,2025-11-16,16,5,4
Phil Bryant (Backwoods Unit) - Group Gun Hunt 3,Deer Group,Phil Bryant (Backwoods Unit),2025-11-19,2025-11-23,16,5,4
Phil Bryant (Backwoods Unit) - Group Gun Hunt 4,Deer Group,Phil Bryant (Backwoods Unit),2025-12-10,2025-12-14,16,5,4
Phil Bryant (Backwoods Unit) - Group Gun Hunt 5,Deer Group,Phil Bryant (Backwoods Unit),2025-12-24,2025-12-28,16,5,4
Phil Bryant (Backwoods Unit) - Group Gun Hunt 6,Deer Group,Phil Bryant (Backwoods Unit),2026-01-07,2026-01-11,16,5,4
