hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,decision_score,quality_score,rut_label,moon_label,competition_label,apps_per_permit_2025,applications_2025
Phil Bryant (Backwoods Unit) - Archery Hunt 2,Deer Group,Phil Bryant (Backwoods Unit),2026-10-07,2026-10-11,16,5,1.68,2.19,Pre-Rut (Building Activity),Excellent (New Moon Period),Extreme,58.75,235
Phil Bryant (Backwoods Unit) - Gun Hunt 4,Deer Group,Phil Bryant (Backwoods Unit),2026-12-09,2026-12-13,16,5,1.68,2.19,Pre-Rut (Building Activity),Excellent (New Moon Period),Extreme,635.0,2540
Phil Bryant (Backwoods Unit) - Gun Hunt 6,Deer Group,Phil Bryant (Backwoods Unit),2027-01-06,2027-01-10,16,5,1.68,2.19,Post-Rut (Recovery Period),Excellent (New Moon Period),Extreme,539.25,2157
Cossar State Park - Limited Weapon Hunt 2,Deer Group,Cossar State Park,2026-12-09,2026-12-13,3,5,1.59,2.05,Pre-Rut (Building Activity),Excellent (New Moon Period),Extreme,299.0,299
Phil Bryant (Backwoods Unit) - Gun Hunt 5,Deer Group,Phil Bryant (Backwoods Unit),2026-12-23,2026-12-27,16,5,1.56,2.02,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Extreme,379.75,1519
Cossar State Park - Limited Weapon Hunt 3,Deer Group,Cossar State Park,2026-12-16,2026-12-20,3,5,1.55,2.0,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Extreme,297.0,297
Phil Bryant (Backwoods Unit) - Gun Hunt 1,Deer Group,Phil Bryant (Backwoods Unit),2026-11-04,2026-11-08,16,5,1.55,2.0,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,336.75,1347
Phil Bryant (Backwoods Unit) - Gun Hunt 2,Deer Group,Phil Bryant (Backwoods Unit),2026-11-11,2026-11-15,16,5,1.55,2.0,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,449.25,1797
Natchez State Park - Primitive Weapon Hunt 1,Deer Group,Natchez State Park,2026-12-10,2026-12-13,4,4,1.54,1.99,Pre-Rut (Building Activity),Excellent (New Moon Period),Extreme,701.0,701
Natchez State Park - Primitive Weapon Hunt 2,Deer Group,Natchez State Park,2026-12-17,2026-12-20,4,4,1.51,1.94,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Extreme,796.0,796
Cossar State Park - Limited Weapon Hunt 4,Deer Group,Cossar State Park,2026-12-23,2026-12-27,3,5,1.47,1.89,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Extreme,174.0,174
Phil Bryant (Backwoods Unit) - Archery Hunt 3,Deer Group,Phil Bryant (Backwoods Unit),2026-10-14,2026-10-18,16,5,1.43,1.82,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,62.25,249
Phil Bryant (Backwoods Unit) - Archery Hunt 5,Deer Group,Phil Bryant (Backwoods Unit),2026-10-28,2026-11-01,16,5,1.4,1.78,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,78.25,313
Phil Bryant (Backwoods Unit) - Gun Hunt 3,Deer Group,Phil Bryant (Backwoods Unit),2026-11-18,2026-11-22,16,5,1.36,1.72,Pre-Rut (Building Activity),Fair (Neutral),Extreme,488.0,1952
Phil Bryant (Backwoods Unit) - Archery Hunt 1,Deer Group,Phil Bryant (Backwoods Unit),2026-10-01,2026-10-04,16,4,1.35,1.71,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,68.25,273
Cossar State Park - Limited Weapon Hunt 1,Deer Group,Cossar State Park,2026-12-02,2026-12-06,3,5,1.34,1.69,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,304.0,304
Phil Bryant (Backwoods Unit) - Archery Hunt 4,Deer Group,Phil Bryant (Backwoods Unit),2026-10-21,2026-10-25,16,5,1.32,1.67,Pre-Rut (Building Activity),Fair (Neutral),Extreme,64.75,259
