hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days
Mahannah - Gun Hunt 1,Deer Gun,Mahannah,2025-12-04,2025-12-05,20,2
Mahannah - Gun Hunt 2,Deer Gun,Mahannah,2025-12-07,2025-12-08,20,2
Mahannah - Gun Hunt 3,Deer Gun,Mahannah,2025-12-11,2025-12-12,20,2
Mahannah - Gun Hunt 4,Deer Gun,Mahannah,2025-12-14,2025-12-15,20,2
Mahannah - Gun Hunt 5,Deer Gun,Mahannah,2025-12-18,2025-12-19,20,2
Mahannah - Gun Hunt 6,Deer Gun,Mahannah,2025-12-21,2025-12-22,20,2
Mahannah - Gun Hunt 7,Deer Gun,Mahannah,2025-12-25,2025-12-26,20,2
Mahannah - Gun Hunt 8,Deer Gun,Mahannah,2025-12-28,2025-12-29,20,2
Phil Bryant (Buck Bayou Unit) - Gun Hunt 1,Deer Gun,Phil Bryant (Buck Bayou Unit),2025-12-04,2025-12-05,12,2
Phil Bryant (Buck Bayou Unit) - Gun Hunt 2,Deer Gun,Phil Bryant (Buck Bayou Unit),2025-12-07,2025-12-08,12,2
Phil Bryant (Buck Bayou Unit) - Gun Hunt 3,Deer Gun,Phil Bryant (Buck Bayou Unit),2025-12-11,2025-12-12,12,2
Phil Bryant (Buck Bayou Unit) - Gun Hunt 4,Deer Gun,Phil Bryant (Buck Bayou Unit),2025-12-14,2025-12-15,12,2
Phil Bryant (Buck Bayou Unit) - Gun Hunt 5,Deer Gun,Phil Bryant (Buck Bayou Unit),2025-12-18,2025-12-19,12,2
Phil Bryant (Buck Bayou Unit) - Gun Hunt 6,Deer Gun,Phil Bryant (Buck Bayou Unit),2025-12-21,2025-12-22,12,2
Phil Bryant (Buck Bayou Unit) - Gun Hunt 7,Deer Gun,Phil Bryant (Buck Bayou Unit),2025-12-25,2025-12-26,12,2
Phil Bryant (Buck Bayou Unit) - Gun Hunt 8,Deer Gun,Phil Bryant (Buck Bayou Unit),2025-12-28,2025-12-29,12,2
Phil Bryant (Ten Point Unit) - Gun Hunt 1,Deer Gun,Phil Bryant (Ten Point Unit),2025-12-04,2025-12-07,24,4
Phil Bryant (Ten Point Unit) - Gun Hunt 2,Deer Gun,Phil Bryant (Ten Point Unit),2025-12-11,2025-12-14,24,4
Phil Bryant (Ten Point Unit) - Gun Hunt 3,Deer Gun,Phil Bryant (Ten Point Unit),2025-12-18,2025-12-21,24,4
