hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,decision_score,quality_score,rut_label,moon_label,competition_label,apps_per_permit_2025,applications_2025
Hell Creek - Gun Hunt 2,Deer Gun,Hell Creek,2026-10-08,2026-10-11,25,4,2.14,2.2,Pre-Rut (Building Activity),Excellent (New Moon Period),High,10.8,270
Hell Creek - Gun Hunt 3,Deer Gun,Hell Creek,2026-10-15,2026-10-18,25,4,1.89,1.84,Pre-Rut (Building Activity),Good (Quarter Moon),High,12.2,305
Mahannah - Gun Hunt 7,Deer Gun,Mahannah,2026-12-24,2026-12-25,20,2,1.88,1.83,Pre-Peak Rut (Chasing Activity),Fair (Neutral),High,15.95,319
Hell Creek - Gun Hunt 1,Deer Gun,Hell Creek,2026-10-01,2026-10-04,25,4,1.86,1.8,Pre-Rut (Building Activity),Good (Quarter Moon),High,12.64,316
Canemount - Gun Hunt 6,Deer Gun,Canemount,2026-12-31,2027-01-03,12,4,1.84,2.41,Peak Rut (Prime Time),Good (Quarter Moon),Extreme,69.83,838
Phil Bryant (Buck Bayou Unit) - Gun Hunt 7,Deer Gun,Phil Bryant (Buck Bayou Unit),2026-12-24,2026-12-25,12,2,1.82,1.75,Pre-Peak Rut (Chasing Activity),Fair (Neutral),High,15.75,189
Pascagoula River (LBTC Unit) - Gun Hunt 2,Deer Gun,Pascagoula River (LBTC Unit),2026-12-10,2026-12-13,6,4,1.71,2.01,Pre-Rut (Building Activity),Excellent (New Moon Period),Very High,25.0,150
Phil Bryant (Ten Point Unit) - Gun Hunt 2,Deer Gun,Phil Bryant (Ten Point Unit),2026-12-10,2026-12-13,24,4,1.68,2.19,Pre-Rut (Building Activity),Excellent (New Moon Period),Extreme,60.88,1461
Phil Bryant (Ten Point Unit) - Gun Hunt 3,Deer Gun,Phil Bryant (Ten Point Unit),2026-12-17,2026-12-20,24,4,1.65,2.14,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Extreme,67.46,1619
Black Prairie - Gun Hunt 1,Deer Gun,Black Prairie,2026-11-05,2026-11-08,15,4,1.64,1.92,Pre-Rut (Building Activity),Good (Quarter Moon),Very High,36.67,550
Black Prairie - Gun Hunt 2,Deer Gun,Black Prairie,2026-11-12,2026-11-15,15,4,1.64,1.92,Pre-Rut (Building Activity),Good (Quarter Moon),Very High,33.87,508
Phil Bryant (Buck Bayou Unit) - Gun Hunt 3,Deer Gun,Phil Bryant (Buck Bayou Unit),2026-12-10,2026-12-11,12,2,1.64,1.92,Pre-Rut (Building Activity),Excellent (New Moon Period),Very High,38.42,461
Canemount - Gun Hunt 3,Deer Gun,Canemount,2026-12-10,2026-12-13,12,4,1.6,2.07,Pre-Rut (Building Activity),Excellent (New Moon Period),Extreme,61.92,743
Canemount - Gun Hunt 7,Deer Gun,Canemount,2027-01-07,2027-01-10,12,4,1.6,2.07,Post-Rut (Recovery Period),Excellent (New Moon Period),Extreme,49.33,592
Mahannah - Gun Hunt 2,Deer Gun,Mahannah,2026-12-06,2026-12-07,20,2,1.57,1.82,Pre-Rut (Building Activity),Good (Quarter Moon),Very High,37.55,751
Canemount - Gun Hunt 4,Deer Gun,Canemount,2026-12-17,2026-12-20,12,4,1.56,2.02,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Extreme,81.42,977
Mahannah - Gun Hunt 3,Deer Gun,Mahannah,2026-12-10,2026-12-11,20,2,1.55,2.0,Pre-Rut (Building Activity),Excellent (New Moon Period),Extreme,46.65,933
Phil Bryant (Buck Bayou Unit) - Gun Hunt 2,Deer Gun,Phil Bryant (Buck Bayou Unit),2026-12-06,2026-12-07,12,2,1.52,1.74,Pre-Rut (Building Activity),Good (Quarter Moon),Very High,32.42,389
Mahannah - Gun Hunt 5,Deer Gun,Mahannah,2026-12-17,2026-12-18,20,2,1.51,1.95,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Extreme,59.8,1196
Canemount - Gun Hunt 5,Deer Gun,Canemount,2026-12-24,2026-12-27,12,4,1.48,1.9,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Extreme,44.75,537
Canemount - Gun Hunt 8,Deer Gun,Canemount,2027-01-14,2027-01-17,12,4,1.47,1.67,Post-Rut (Recovery Period),Good (Quarter Moon),Very High,29.25,351
Mahannah - Gun Hunt 6,Deer Gun,Mahannah,2026-12-20,2026-12-21,20,2,1.47,1.89,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Extreme,56.8,1136
Mahannah - Gun Hunt 8,Deer Gun,Mahannah,2026-12-27,2026-12-28,20,2,1.47,1.89,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Extreme,57.4,1148
Phil Bryant (Buck Bayou Unit) - Gun Hunt 5,Deer Gun,Phil Bryant (Buck Bayou Unit),2026-12-17,2026-12-18,12,2,1.46,1.87,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Extreme,57.58,691
Black Prairie - Gun Hunt 3,Deer Gun,Black Prairie,2026-11-19,2026-11-22,15,4,1.45,1.64,Pre-Rut (Building Activity),Fair (Neutral),Very High,32.07,481
Black Prairie - Gun Hunt 4,Deer Gun,Black Prairie,2026-11-26,2026-11-29,15,4,1.45,1.64,Pre-Rut (Building Activity),Fair (Neutral),Very High,37.07,556
Mahannah - Gun Hunt 1,Deer Gun,Mahannah,2026-12-03,2026-12-04,20,2,1.45,1.64,Pre-Rut (Building Activity),Good (Quarter Moon),Very High,32.6,652
Pascagoula River (LBTC Unit) - Gun Hunt 1,Deer Gun,Pascagoula River (LBTC Unit),2026-12-03,2026-12-06,6,4,1.45,1.65,Pre-Rut (Building Activity),Good (Quarter Moon),Very High,27.0,162
Canemount - Gun Hunt 9,Deer Gun,Canemount,2027-01-21,2027-01-24,12,4,1.44,1.2,Late Season (Food Focus),Fair (Neutral),High,19.5,234
Canemount - Gun Hunt 1,Deer Gun,Canemount,2026-11-26,2026-11-29,12,4,1.43,1.61,Pre-Rut (Building Activity),Fair (Neutral),Very High,36.08,433
Pascagoula River (LBTC Unit) - Gun Hunt 3,Deer Gun,Pascagoula River (LBTC Unit),2027-01-14,2027-01-17,6,4,1.43,1.61,Post-Rut (Recovery Period),Good (Quarter Moon),Very High,35.33,212
Phil Bryant (Ten Point Unit) - Gun Hunt 1,Deer Gun,Phil Bryant (Ten Point Unit),2026-12-03,2026-12-06,24,4,1.43,1.83,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,43.58,1046
Mahannah - Gun Hunt 4,Deer Gun,Mahannah,2026-12-13,2026-12-14,20,2,1.42,1.82,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,55.85,1117
Phil Bryant (Buck Bayou Unit) - Gun Hunt 6,Deer Gun,Phil Bryant (Buck Bayou Unit),2026-12-20,2026-12-21,12,2,1.42,1.81,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Extreme,55.67,668
Phil Bryant (Buck Bayou Unit) - Gun Hunt 8,Deer Gun,Phil Bryant (Buck Bayou Unit),2026-12-27,2026-12-28,12,2,1.42,1.81,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Extreme,58.42,701
Phil Bryant (Buck Bayou Unit) - Gun Hunt 1,Deer Gun,Phil Bryant (Buck Bayou Unit),2026-12-03,2026-12-04,12,2,1.39,1.56,Pre-Rut (Building Activity),Good (Quarter Moon),Very High,26.83,322
Phil Bryant (Buck Bayou Unit) - Gun Hunt 4,Deer Gun,Phil Bryant (Buck Bayou Unit),2026-12-13,2026-12-14,12,2,1.37,1.74,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,49.75,597
Canemount - Gun Hunt 2,Deer Gun,Canemount,2026-12-03,2026-12-06,12,4,1.35,1.71,Pre-Rut (Building Activity),Good (Quarter Moon),Extreme,43.75,525
Black Prairie - Gun (Bucks Only) Hunt 1,Deer Gun,Black Prairie,2027-01-15,2027-01-17,15,3,1.29,1.62,Post-Rut (Recovery Period),Good (Quarter Moon),Extreme,41.07,616
Pascagoula River (LBTC Unit) - Gun Hunt 4,Deer Gun,Pascagoula River (LBTC Unit),2027-01-21,2027-01-24,6,4,1.1,1.14,Late Season (Food Focus),Fair (Neutral),Very High,35.17,211
