hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,decision_score,quality_score,rut_label,moon_label,competition_label,apps_per_permit_2025,applications_2025
Yockanookany - PW Hunt 4,Deer Primitive Weapon,Yockanookany,2026-12-28,2027-01-10,50,14,3.59,3.42,Peak Rut (Prime Time),Good (Quarter Moon),Low,2.4,120
Yockanookany - PW Hunt 2,Deer Primitive Weapon,Yockanookany,2026-11-30,2026-12-13,50,14,3.4,2.72,Pre-Rut (Building Activity),Good (Quarter Moon),Very Low,1.76,88
Charles Ray Nix - PW Hunt 6,Deer Primitive Weapon,Charles Ray Nix,2026-12-28,2027-01-03,50,7,3.31,3.02,Peak Rut (Prime Time),Good (Quarter Moon),Low,4.9,245
Yockanookany - PW Hunt 3,Deer Primitive Weapon,Yockanookany,2026-12-14,2026-12-27,50,14,3.15,2.79,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Low,2.26,113
Yockanookany - PW Hunt 1,Deer Primitive Weapon,Yockanookany,2026-11-21,2026-11-29,50,9,3.11,2.3,Pre-Rut (Building Activity),Fair (Neutral),Very Low,1.3,65
Charles Ray Nix - PW Hunt 7,Deer Primitive Weapon,Charles Ray Nix,2027-01-04,2027-01-08,50,5,2.97,2.52,Post-Rut (Recovery Period),Excellent (New Moon Period),Low,3.56,178
Yockanookany - PW Hunt 5,Deer Primitive Weapon,Yockanookany,2027-01-11,2027-01-24,50,14,2.95,2.5,Post-Rut (Recovery Period),Good (Quarter Moon),Low,2.22,111
Charles Ray Nix - PW Hunt 3,Deer Primitive Weapon,Charles Ray Nix,2026-12-07,2026-12-13,50,7,2.77,2.67,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,8.76,438
Alligator - PW Hunt 6,Deer Primitive Weapon,Alligator,2026-12-28,2027-01-03,36,7,2.76,2.88,Peak Rut (Prime Time),Good (Quarter Moon),Unknown (new or unmatched),,
Charles Ray Nix - PW Hunt 4,Deer Primitive Weapon,Charles Ray Nix,2026-12-14,2026-12-20,50,7,2.74,2.62,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Moderate,8.6,430
Charles Ray Nix - PW Hunt 5,Deer Primitive Weapon,Charles Ray Nix,2026-12-21,2026-12-27,50,7,2.65,2.5,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,5.18,259
Alligator - PW Hunt 4,Deer Primitive Weapon,Alligator,2026-12-07,2026-12-13,36,7,2.52,2.53,Pre-Rut (Building Activity),Excellent (New Moon Period),Unknown (new or unmatched),,
Charles Ray Nix - PW Hunt 2,Deer Primitive Weapon,Charles Ray Nix,2026-12-04,2026-12-06,50,3,2.44,2.19,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.42,371
Alligator - PW Hunt 5,Deer Primitive Weapon,Alligator,2026-12-21,2026-12-27,36,7,2.41,2.36,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Unknown (new or unmatched),,
Tuscumbia - PW Hunt 2,Deer Primitive Weapon,Tuscumbia,2026-10-08,2026-10-11,8,4,2.32,2.03,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,8.38,67
Charles Ray Nix - PW Hunt 1,Deer Primitive Weapon,Charles Ray Nix,2026-11-21,2026-11-25,50,5,2.3,2.0,Pre-Rut (Building Activity),Fair (Neutral),Moderate,5.82,291
Alligator - PW Hunt 3,Deer Primitive Weapon,Alligator,2026-11-30,2026-12-06,36,7,2.27,2.17,Pre-Rut (Building Activity),Good (Quarter Moon),Unknown (new or unmatched),,
Sky Lake - PW Hunt 8,Deer Primitive Weapon,Sky Lake,2026-12-31,2027-01-02,15,3,2.26,2.36,Peak Rut (Prime Time),Good (Quarter Moon),High,14.0,210
Twin Oaks - PW Hunt 2,Deer Primitive Weapon,Twin Oaks,2026-11-08,2026-11-09,15,2,2.26,1.95,Pre-Rut (Building Activity),Excellent (New Moon Period),Moderate,5.93,89
Sky Lake - PW Hunt 7,Deer Primitive Weapon,Sky Lake,2026-12-24,2026-12-26,15,3,2.2,1.85,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,7.6,114
Twin Oaks - PW Hunt 7,Deer Primitive Weapon,Twin Oaks,2026-11-26,2026-11-27,15,2,2.2,1.43,Pre-Rut (Building Activity),Fair (Neutral),Low,4.33,65
Sky Lake - PW Hunt 1,Deer Primitive Weapon,Sky Lake,2026-11-12,2026-11-14,15,3,2.19,1.84,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.67,115
Alligator - PW Hunt 2,Deer Primitive Weapon,Alligator,2026-11-23,2026-11-29,36,7,2.16,2.01,Pre-Rut (Building Activity),Fair (Neutral),Unknown (new or unmatched),,
Twin Oaks - PW Hunt 15,Deer Primitive Weapon,Twin Oaks,2026-12-24,2026-12-25,15,2,2.15,1.78,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,5.33,80
Twin Oaks - PW Hunt 1,Deer Primitive Weapon,Twin Oaks,2026-11-05,2026-11-06,15,2,2.14,1.77,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.27,124
Twin Oaks - PW Hunt 3,Deer Primitive Weapon,Twin Oaks,2026-11-12,2026-11-13,15,2,2.14,1.77,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,5.73,86
Tuscumbia - PW Hunt 3,Deer Primitive Weapon,Tuscumbia,2026-10-15,2026-10-18,8,4,2.07,1.67,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,8.12,65
Sky Lake - PW Hunt 10,Deer Primitive Weapon,Sky Lake,2027-01-14,2027-01-16,15,3,2.04,1.62,Post-Rut (Recovery Period),Good (Quarter Moon),Moderate,7.07,106
Tuscumbia - PW Hunt 1,Deer Primitive Weapon,Tuscumbia,2026-10-01,2026-10-04,8,4,2.04,1.63,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,9.38,75
Sky Lake - PW Hunt 9,Deer Primitive Weapon,Sky Lake,2027-01-07,2027-01-09,15,3,2.02,2.02,Post-Rut (Recovery Period),Excellent (New Moon Period),High,11.0,165
Twin Oaks - PW Hunt 4,Deer Primitive Weapon,Twin Oaks,2026-11-15,2026-11-16,15,2,2.01,1.59,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,6.27,94
Twin Oaks - PW Hunt 9,Deer Primitive Weapon,Twin Oaks,2026-12-03,2026-12-04,15,2,2.01,1.59,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,9.2,138
Sky Lake - PW Hunt 2,Deer Primitive Weapon,Sky Lake,2026-11-19,2026-11-21,15,3,2.0,1.56,Pre-Rut (Building Activity),Fair (Neutral),Moderate,8.2,123
Sky Lake - PW Hunt 3,Deer Primitive Weapon,Sky Lake,2026-11-26,2026-11-28,15,3,2.0,1.56,Pre-Rut (Building Activity),Fair (Neutral),Moderate,7.2,108
Natchez State Park - PW Hunt 4,Deer Primitive Weapon,Natchez State Park,2026-12-31,2027-01-03,12,4,1.99,2.41,Peak Rut (Prime Time),Good (Quarter Moon),Very High,35.83,430
Twin Oaks - PW Hunt 5,Deer Primitive Weapon,Twin Oaks,2026-11-19,2026-11-20,15,2,1.98,1.55,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,5.67,85
Twin Oaks - PW Hunt 8,Deer Primitive Weapon,Twin Oaks,2026-11-29,2026-11-30,15,2,1.98,1.55,Pre-Rut (Building Activity),Good (Quarter Moon),Moderate,7.73,116
Tuscumbia - PW Hunt 4,Deer Primitive Weapon,Tuscumbia,2026-10-22,2026-10-25,8,4,1.96,1.51,Pre-Rut (Building Activity),Fair (Neutral),Moderate,9.12,73
Twin Oaks - PW Hunt 11,Deer Primitive Weapon,Twin Oaks,2026-12-10,2026-12-11,15,2,1.96,1.95,Pre-Rut (Building Activity),Excellent (New Moon Period),High,15.33,230
Alligator - PW Hunt 1,Deer Primitive Weapon,Alligator,2026-11-21,2026-11-22,36,2,1.94,1.7,Pre-Rut (Building Activity),Fair (Neutral),Unknown (new or unmatched),,
Twin Oaks - PW Hunt 6,Deer Primitive Weapon,Twin Oaks,2026-11-22,2026-11-23,15,2,1.9,1.43,Pre-Rut (Building Activity),Fair (Neutral),Moderate,6.2,93
Twin Oaks - PW Hunt 10,Deer Primitive Weapon,Twin Oaks,2026-12-06,2026-12-07,15,2,1.84,1.77,Pre-Rut (Building Activity),Good (Quarter Moon),High,13.13,197
Sky Lake - PW Hunt 4,Deer Primitive Weapon,Sky Lake,2026-12-03,2026-12-05,15,3,1.77,1.66,Pre-Rut (Building Activity),Good (Quarter Moon),High,16.33,245
Natchez State Park - PW Hunt 5,Deer Primitive Weapon,Natchez State Park,2027-01-07,2027-01-10,12,4,1.75,2.07,Post-Rut (Recovery Period),Excellent (New Moon Period),Very High,30.5,366
Natchez State Park - PW Hunt 1,Deer Primitive Weapon,Natchez State Park,2026-11-26,2026-11-29,12,4,1.73,1.61,Pre-Rut (Building Activity),Fair (Neutral),High,16.75,201
Sky Lake - PW Hunt 5,Deer Primitive Weapon,Sky Lake,2026-12-10,2026-12-12,15,3,1.72,2.02,Pre-Rut (Building Activity),Excellent (New Moon Period),Very High,25.6,384
