hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,decision_score,quality_score,rut_label,moon_label,competition_label,apps_per_permit_2025,applications_2025
Natchez State Park - Youth Hunt 3,Deer Youth,Natchez State Park,2026-11-07,2026-11-08,10,2,2.53,1.9,Pre-Rut (Building Activity),Excellent (New Moon Period),Low,5.0,50
Black Prairie - Youth Hunt 3,Deer Youth,Black Prairie,2026-12-24,2026-12-26,15,3,2.5,1.85,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Low,3.87,58
Phil Bryant (Ten Point Unit) - Youth Hunt 2,Deer Youth,Phil Bryant (Ten Point Unit),2027-01-07,2027-01-10,24,4,2.43,2.19,Post-Rut (Recovery Period),Excellent (New Moon Period),Moderate,7.75,186
Phil Bryant (Ten Point Unit) - Youth Hunt 1,Deer Youth,Phil Bryant (Ten Point Unit),2026-12-24,2026-12-27,24,4,2.31,2.02,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,6.67,160
Natchez State Park - Youth Hunt 4,Deer Youth,Natchez State Park,2026-11-14,2026-11-15,10,2,2.28,1.54,Pre-Rut (Building Activity),Good (Quarter Moon),Low,4.5,45
Trim Cane - Youth Hunt 3,Deer Youth,Trim Cane,2027-01-02,2027-01-02,6,1,2.24,2.12,Peak Rut (Prime Time),Good (Quarter Moon),Unknown (new or unmatched),,
Black Prairie - Youth Hunt 2,Deer Youth,Black Prairie,2026-12-21,2026-12-23,15,3,2.2,1.85,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,6.33,95
Pascagoula River (LBTC Unit) - Youth Hunt 6,Deer Youth,Pascagoula River (LBTC Unit),2026-12-17,2026-12-20,6,4,2.12,1.96,Pre-Peak Rut (Chasing Activity),Good (Quarter Moon),Unknown (new or unmatched),,
Trim Cane - Youth Hunt 2,Deer Youth,Trim Cane,2026-12-26,2026-12-26,6,1,2.07,1.67,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Moderate,9.33,56
Pascagoula River (LBTC Unit) - Youth Hunt 7,Deer Youth,Pascagoula River (LBTC Unit),2026-12-24,2026-12-27,6,4,2.04,1.84,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Unknown (new or unmatched),,
