hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,species,max_party,notes
Mahannah - Teal Hunt 1,Teal,Mahannah,2026-09-19,2026-09-19,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Mahannah - Teal Hunt 2,Teal,Mahannah,2026-09-20,2026-09-20,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Mahannah - Teal Hunt 3,Teal,Mahannah,2026-09-21,2026-09-21,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Mahannah - Teal Hunt 4,Teal,Mahannah,2026-09-22,2026-09-22,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Mahannah - Teal Hunt 5,Teal,Mahannah,2026-09-23,2026-09-23,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Mahannah - Teal Hunt 6,Teal,Mahannah,2026-09-24,2026-09-24,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Mahannah - Teal Hunt 7,Teal,Mahannah,2026-09-25,2026-09-25,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Mahannah - Teal Hunt 8,Teal,Mahannah,2026-09-26,2026-09-26,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Mahannah - Teal Hunt 9,Teal,Mahannah,2026-09-27,2026-09-27,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 1,Teal,Muscadine Farms,2026-09-19,2026-09-19,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 2,Teal,Muscadine Farms,2026-09-20,2026-09-20,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 3,Teal,Muscadine Farms,2026-09-21,2026-09-21,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 4,Teal,Muscadine Farms,2026-09-22,2026-09-22,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 5,Teal,Muscadine Farms,2026-09-23,2026-09-23,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 6,Teal,Muscadine Farms,2026-09-24,2026-09-24,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 7,Teal,Muscadine Farms,2026-09-25,2026-09-25,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 8,Teal,Muscadine Farms,2026-09-26,2026-09-26,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
Muscadine Farms - Teal Hunt 9,Teal,Muscadine Farms,2026-09-27,2026-09-27,8,1,Teal,5,MDWFP Teal draw. Up to 5 applicants per application. Drawn hunters may bring up to 3 guests.
